Kuupäev,Ajalehenr,Mitu reklaami ühes segmendis,Mitu sõna OCR tekstis,Mitu sõna kokku lugesin,page,link,LogicalSectionViewURL,Firma,Lisainfo
1935-02-01,Kaja nr 28,"8, 0 tubakas",,,Page 10 Kuulutused Veerg 2,https://dea.digar.ee/article/kaja/1935/02/01/1/96.2,/cgi-bin/dea?a=d&d=kaja19350201-1.2.96.2,AINULT 11 VASTET OLI KUU PEALE KOKKU,Kauplusereklaam
1935-02-08,Postimees nr 38,"16, 0 tubakas",,,Page 8 Kuulutused Veerg 2,https://dea.digar.ee/article/postimeesew/1935/02/08/50.2,/cgi-bin/dea?a=d&d=postimeesew19350208.2.50.2,,Kauplusereklaam
1935-02-09,Kaja nr 35,"4, 0 tubakas",,,Page 10 Kuulutused Veerg 3,https://dea.digar.ee/article/kaja/1935/02/09/1/117.3,/cgi-bin/dea?a=d&d=kaja19350209-1.2.117.3,,Tubakaraamatu hind
1935-02-09,Postimees nr 39,"23, 0 tubakas",,,Page 7 Kuulutused Veerg 2,https://dea.digar.ee/article/postimeesew/1935/02/09/33.2,/cgi-bin/dea?a=d&d=postimeesew19350209.2.33.2,,Tubakakaupluse müügikuulutus
1935-02-12,Kaja nr 37,"4, 0 tubakas",,,Page 8 Kuulutused Veerg 4,https://dea.digar.ee/article/kaja/1935/02/12/1/74.4,/cgi-bin/dea?a=d&d=kaja19350212-1.2.74.4,,Tolliameti avalik enampakkumine
1935-02-19,Postimees nr 49,"16, 0 tubakas",,,Page 7 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1935/02/19/54.1,/cgi-bin/dea?a=d&d=postimeesew19350219.2.54.1,,Hõbedast paberossitoose ostetakse kokku
1935-02-22,Päevaleht nr 53,"1, 1 tubakas",,,Leht 3 Kuulutused Veerg 1,https://dea.digar.ee/article/paevalehtew/1935/02/22/21.1,/cgi-bin/dea?a=d&d=paevalehtew19350222.2.21.1,ETK tubakatehas,"Paberossid ""Ahto"""
1935-02-23,Päevaleht nr 54,"1, 1 tubakas",,,Leht 5 Kuulutused Veerg 3,https://dea.digar.ee/article/paevalehtew/1935/02/23/20.3,/cgi-bin/dea?a=d&d=paevalehtew19350223.2.20.3,Laferme,"Tubakasort ""N. 10"""
1935-02-25,Postimees nr 55,"1, 1 tubakas",,,Page 3 Kuulutused Veerg 1,https://dea.digar.ee/article/postimeesew/1935/02/25/25.1,/cgi-bin/dea?a=d&d=postimeesew19350225.2.25.1,ETK tubakatehas,"Paberossid ""Rünnak"""
1935-02-26,Kaja nr 49,"1, 1 tubakas",,,Page 3 Kuulutused Veerg 1,https://dea.digar.ee/article/kaja/1935/02/26/1/33.1,/cgi-bin/dea?a=d&d=kaja19350226-1.2.33.1,ETK tubakatehas,"Paberossid ""Rünnak"""
1935-02-28,Päevaleht nr 59,"25, 0 tubakas",,,Leht 7 Kuulutused Veerg 4,https://dea.digar.ee/article/paevalehtew/1935/02/28/35.4,/cgi-bin/dea?a=d&d=paevalehtew19350228.2.35.4,,Köögiteenija otsing